Rank,Address,Quantity,Percentage,Value,Analytics
205,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xf506835937f5fab0ffff1782c99c376111b31203,"19,636,861,105,053.632805343",0.0196%,"$107,138.71",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xf506835937f5fab0ffff1782c99c376111b31203#tokenAnalytics
206,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x61351e0a0fcef4f0ce877a7f4bfdc1e769c9afee,"19,620,852,712,707.797382661",0.0196%,"$107,051.37",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x61351e0a0fcef4f0ce877a7f4bfdc1e769c9afee#tokenAnalytics
207,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xca8fd276813b2640f7bdc6eee580a03beb283400,"19,609,006,795,920.28790741",0.0196%,"$106,986.74",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xca8fd276813b2640f7bdc6eee580a03beb283400#tokenAnalytics
208,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x3bbb8057d094577bbd7042e169d02c50ce7b9707,"19,596,204,626,820.45211554",0.0196%,"$106,916.89",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x3bbb8057d094577bbd7042e169d02c50ce7b9707#tokenAnalytics
209,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xdd4a6d14fb914ce0fd9d56501f3d2e7aa6e83a8e,"19,522,247,961,547.060521134",0.0195%,"$106,513.38",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xdd4a6d14fb914ce0fd9d56501f3d2e7aa6e83a8e#tokenAnalytics
210,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xc302aca346bf724e11f77c6a8f92bf41a4473a46,"19,367,620,385,218.302300315",0.0194%,"$105,669.74",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xc302aca346bf724e11f77c6a8f92bf41a4473a46#tokenAnalytics
211,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x9e519362d871ec6a3f37d40659b661e73c684512,"19,354,918,791,122.827041544",0.0194%,"$105,600.44",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x9e519362d871ec6a3f37d40659b661e73c684512#tokenAnalytics
212,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x20f5a1db6b02477495f9d34505005634eeaf6757,"19,284,234,541,039.875058977",0.0193%,"$105,214.78",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x20f5a1db6b02477495f9d34505005634eeaf6757#tokenAnalytics
213,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x653037e9b0be05c537057a853bf54fce1a231d7b,"19,200,014,698,813.88493052",0.0192%,"$104,755.28",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x653037e9b0be05c537057a853bf54fce1a231d7b#tokenAnalytics
214,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x071296457b3df0c236f601eaf8fc6eb7e1913c92,"19,188,311,996,051.386070827",0.0192%,"$104,691.43",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x071296457b3df0c236f601eaf8fc6eb7e1913c92#tokenAnalytics
215,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x62b4b40769ba071e705151d23763a127b5ae624e,"19,166,133,511,230.236416537",0.0192%,"$104,570.42",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x62b4b40769ba071e705151d23763a127b5ae624e#tokenAnalytics
