Rank,Address,Quantity,Percentage,Value,Analytics
92,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd844b4fbb8e282082358ab649e07724e6d3f39f3,"3,900",0.0039%,"$10,135.17",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd844b4fbb8e282082358ab649e07724e6d3f39f3#tokenAnalytics
93,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xfa3d3b2a2b0dbd7d3e6d59dacd03b05d5aa3dcc9,"3,800",0.0038%,"$9,875.29",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xfa3d3b2a2b0dbd7d3e6d59dacd03b05d5aa3dcc9#tokenAnalytics
94,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xe1a056c1c9d42a7f26292a3a89b7076baf81c350,"3,746.200000000000262144",0.0037%,"$9,735.48",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xe1a056c1c9d42a7f26292a3a89b7076baf81c350#tokenAnalytics
95,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x0c82b2cfdfb7044cc1566b9c57239cf1ef948b70,"3,720",0.0037%,"$9,667.39",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x0c82b2cfdfb7044cc1566b9c57239cf1ef948b70#tokenAnalytics
96,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x5ebab7003a2a7c375c1117508a3e748c3f53e918,"3,361",0.0034%,"$8,734.43",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x5ebab7003a2a7c375c1117508a3e748c3f53e918#tokenAnalytics
97,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x698195b2f8f495402942abc436441d45f0746b57,"3,342.51213",0.0033%,"$8,686.39",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x698195b2f8f495402942abc436441d45f0746b57#tokenAnalytics
98,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x8a5d137be0a7cf5bb868e8fb01c7c337704839b4,"3,297",0.0033%,"$8,568.11",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x8a5d137be0a7cf5bb868e8fb01c7c337704839b4#tokenAnalytics
99,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x1df1427f179137acba7612dd5641931bb974a74e,"3,266.304",0.0033%,"$8,488.34",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x1df1427f179137acba7612dd5641931bb974a74e#tokenAnalytics
100,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x935d11050c3a6ec573c0d32c06c6710903865eb5,"3,236.15299999999983616",0.0032%,"$8,409.99",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x935d11050c3a6ec573c0d32c06c6710903865eb5#tokenAnalytics
101,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd973ed5e8fcf9bac9007012dbaef11e0c40a8f60,"3,199.15900000000016384",0.0032%,"$8,313.85",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd973ed5e8fcf9bac9007012dbaef11e0c40a8f60#tokenAnalytics
102,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x653cfa88c34da1f55a3dbe3343e8e312f594f33a,"3,173.28",0.0032%,"$8,246.60",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x653cfa88c34da1f55a3dbe3343e8e312f594f33a#tokenAnalytics
103,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x5602fc658397dd0ac72e80cbe9a97b1f5e79474c,"3,166.37971475",0.0032%,"$8,228.66",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x5602fc658397dd0ac72e80cbe9a97b1f5e79474c#tokenAnalytics
104,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x158869a7951b790eef11dd77ae40e1bcb0b7dfcd,"3,166.296000000000262144",0.0032%,"$8,228.45",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x158869a7951b790eef11dd77ae40e1bcb0b7dfcd#tokenAnalytics
105,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xec8fa63bb54fd7000e4b9e786df442c534fc50fb,"3,113.548529999999926272",0.0031%,"$8,091.37",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xec8fa63bb54fd7000e4b9e786df442c534fc50fb#tokenAnalytics
106,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x2977ea329d8715837e7c479723800dbe19c60eb4,"3,101.34878289",0.0031%,"$8,059.66",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x2977ea329d8715837e7c479723800dbe19c60eb4#tokenAnalytics
107,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd89347baa59174c0535cbfa52c80c3ff9ebdb78a,"3,000.002999999999770624",0.0030%,"$7,796.29",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd89347baa59174c0535cbfa52c80c3ff9ebdb78a#tokenAnalytics
